Ден	Час	Седмица	Група	Зала	Сграда	Л/У	Дисциплина	Преподавател
Понеделник	8.15-10.00	всяка	1 лаб	403	Корпус 4	У	Изграждане на приложни програмни интерфейси (API)	ас. д-р Даниел Иванов Дамянов
Понеделник	8.15-10.00	всяка	3 лаб	405	Корпус 4	У	Програмиране на Java	ас. Валентин Боянов Тонков
Понеделник	10.15-12.00	1,3	1 лаб	403	Корпус 4	У	Изграждане на приложни програмни интерфейси (API)	ас. д-р Даниел Иванов Дамянов
Понеделник	10.15-12.00	всяка	2 лаб	405	Корпус 4	У	Програмиране на Java	ас. Валентин Боянов Тонков
Понеделник	10.15-12.00	2,4	3 лаб	403	Корпус 4	У	Изграждане на приложни програмни интерфейси (API)	ас. д-р Даниел Иванов Дамянов
Понеделник	12.15-14.00	всяка	3 лаб	403	Корпус 4	У	Изграждане на приложни програмни интерфейси (API)	ас. д-р Даниел Иванов Дамянов
Понеделник	14.15-16.00	всяка	2 лаб	403	Корпус 4	У	Изграждане на приложни програмни интерфейси (API)	ас. д-р Даниел Иванов Дамянов
Вторник	8.15-10.00	2,4	 	501	Корпус 4	Л	PHP базирани работни рамки	доц. д-р Тодор Йорданов Тодоров
Вторник	10.15-12.00	1,3	 	505	Корпус 4	Л	Изграждане на приложни програмни интерфейси (API)	доц. д-р Златко Георгиев Върбанов
Вторник	10.15-12.00	2,4	 	505	Корпус 4	Л	Програмиране на Java	доц. д-р Тодор Йорданов Тодоров
Вторник	14.15-16.00	всяка	3 лаб	402А	Корпус 4	У	Системи за управление на съдържанието	гл.ас. д-р Силвия Ангелова Върбанова
Вторник	16.15-18.00	всяка	1 лаб	402	Корпус 4	У	Програмиране на Java	ас. Валентин Боянов Тонков
Вторник	16.15-18.00	всяка	3 лаб	403	Корпус 4	У	PHP базирани работни рамки	Юри Стефанов Стойнов
Вторник	18.15-20.00	всяка	1 лаб	402	Корпус 4	У	PHP базирани работни рамки	Любомир Георгиев Филипов
Вторник	18.15-20.00	всяка	2 лаб	402А	Корпус 4	У	PHP базирани работни рамки	Стефка Тодорова Кадийска
Сряда	8.15-10.00	всяка	1 сем	504	Корпус 4	У	Дискретни структури	гл.ас. д-р Мария Стефанова Джумалиева - Стоева
Сряда	10.15-12.00	1,3	1 сем	504	Корпус 4	У	Дискретни структури	гл.ас. д-р Мария Стефанова Джумалиева - Стоева
Сряда	10.15-12.00	2,4	2 сем	504	Корпус 4	У	Дискретни структури	гл.ас. д-р Мария Стефанова Джумалиева - Стоева
Сряда	12.15-14.00	всяка	2 сем	504	Корпус 4	У	Дискретни структури	гл.ас. д-р Мария Стефанова Джумалиева - Стоева
Сряда	14.15-16.00	всяка	1 лаб	402	Корпус 4	У	Системи за управление на съдържанието	гл.ас. д-р Силвия Ангелова Върбанова
Сряда	14.15-16.00	1,3	2 лаб	309	Корпус 4	У	Изграждане на приложни програмни интерфейси (API)	ас. д-р Даниел Иванов Дамянов
Четвъртък	10.15-12.00	2,4	 	508	Корпус 4	Л	Математически анализ І част	проф. д-р Милко Дамянов Такев
Четвъртък	12.15-14.00	всяка	 	502	Корпус 4	Л	Дискретни структури	доц. д-р Валентин Пенев Бакоев
Четвъртък	14.15-16.00	1,3	 	502	Корпус 4	Л	Дискретни структури	доц. д-р Валентин Пенев Бакоев
Четвъртък	14.15-16.00	2,4	 	502	Корпус 4	Л	Системи за управление на съдържанието	доц. д-р Юлиана Стоянова Дошкова-Тодорова
Четвъртък	16.15-18.00	2,4	 	502	Корпус 4	Л	Математически анализ І част	проф. д-р Милко Дамянов Такев
Петък	8.15-10.00	всяка	2 лаб	501	Корпус 4	У	Системи за управление на съдържанието	гл.ас. д-р Силвия Ангелова Върбанова
Петък	12.15-14.00	всяка	1 сем	503	Корпус 4	У	Математически анализ І част	ас. Александър Пенчев Андонов
Петък	14.15-16.00	всяка	1 сем	502	Корпус 4	У	Специализиран английски език I част	ст.преп. Анелия Александрова Иванова
Петък	14.15-16.00	всяка	2 сем	503	Корпус 4	У	Математически анализ І част	ас. Александър Пенчев Андонов
Петък	16.15-18.00	всяка	2 сем	502	Корпус 4	У	Специализиран английски език I част	ст.преп. Анелия Александрова Иванова
